file,qid,coords,scores
Sample_Survey_1.png,Q1,"[[171, 97], [199, 97], [227, 97], [255, 97], [283, 97], [311, 97], [339, 97], [367, 97], [395, 97], [423, 97], [451, 97]]","0.262,0.248,0.248,0.289,0.282,0.302,0.295,0.302,0.725,0.295,0.302"
Sample_Survey_1.png,Q2,"[[435, 190], [465, 190], [495, 190], [525, 190], [555, 190]]","0.309,0.329,0.685,0.315,0.336"
Sample_Survey_1.png,Q3,"[[435, 208], [465, 208], [495, 208], [525, 208], [555, 208]]","0.315,0.315,0.664,0.329,0.315"
Sample_Survey_1.png,Q4,"[[435, 226], [465, 226], [495, 226], [525, 226], [555, 226]]","0.329,0.671,0.295,0.329,0.322"
Sample_Survey_1.png,Q5,"[[435, 254], [465, 254], [495, 254], [525, 254], [555, 254]]","0.322,0.322,0.295,0.611,0.329"
Sample_Survey_1.png,Q6,"[[435, 275], [465, 275], [495, 275], [525, 275], [555, 275]]","0.322,0.322,0.302,0.624,0.322"
Sample_Survey_1.png,Q7,"[[435, 300], [465, 300], [495, 300], [525, 300], [555, 300]]","0.282,0.664,0.295,0.329,0.336"
Sample_Survey_1.png,Q8,"[[435, 322], [465, 322], [495, 322], [525, 322], [555, 322]]","0.295,0.315,0.383,0.617,0.329"
Sample_Survey_1.png,Q9,"[[435, 344], [465, 344], [495, 344], [525, 344], [555, 344]]","0.295,0.322,0.289,0.617,0.329"
Sample_Survey_1.png,Q10,"[[435, 360], [465, 360], [495, 360], [525, 360], [555, 360]]","0.376,0.302,0.671,0.315,0.309"
Sample_Survey_1.png,Q11,"[[435, 385], [465, 385], [495, 385], [525, 385], [555, 385]]","0.329,0.322,0.295,0.617,0.336"
Sample_Survey_1.png,Q12,"[[435, 409], [465, 409], [495, 409], [525, 409], [555, 409]]","0.315,0.329,0.309,0.624,0.329"
Sample_Survey_1.png,Q13,"[[435, 435], [465, 435], [495, 435], [525, 435], [555, 435]]","0.315,0.678,0.309,0.315,0.329"
Sample_Survey_1.png,Q14,"[[435, 457], [465, 457], [495, 457], [525, 457], [555, 457]]","0.685,0.322,0.322,0.322,0.309"
Sample_Survey_1.png,Q15,"[[435, 485], [465, 485], [495, 485], [525, 485], [555, 485]]","0.315,0.671,0.309,0.315,0.315"
Sample_Survey_1.png,Q16,"[[435, 513], [465, 513], [495, 513], [525, 513], [555, 513]]","0.336,0.309,0.644,0.315,0.329"
Sample_Survey_1.png,Q17,"[[435, 544], [465, 544], [495, 544], [525, 544], [555, 544]]","0.336,0.302,0.295,0.617,0.329"
Sample_Survey_1.png,Q18,"[[435, 567], [465, 567], [495, 567], [525, 567], [555, 567]]","0.329,0.315,0.289,0.315,0.611"
Sample_Survey_1.png,Q19,"[[435, 591], [465, 591], [495, 591], [525, 591], [555, 591]]","0.322,0.295,0.282,0.309,0.597"
Sample_Survey_1.png,Q20,"[[435, 614], [465, 614], [495, 614], [525, 614], [555, 614]]","0.315,0.315,0.336,0.329,0.624"
Sample_Survey_1.png,Q21,"[[435, 638], [465, 638], [495, 638], [525, 638], [555, 638]]","0.315,0.322,0.295,0.309,0.611"
Sample_Survey_1.png,Q22,"[[435, 661], [465, 661], [495, 661], [525, 661], [555, 661]]","0.336,0.309,0.295,0.604,0.329"
Sample_Survey_1.png,Q23,"[[435, 685], [465, 685], [495, 685], [525, 685], [555, 685]]","0.315,0.322,0.295,0.664,0.329"
